symbol,name,full_name,name_and_type
LBTYK,liberty global,Liberty Global plc,Liberty Global plc - Class C Ordinary Shares
LCNB,lcnb,LCNB Corporation,LCNB Corporation - Common Stock
LCUT,lifetime brands,"Lifetime Brands, Inc.","Lifetime Brands, Inc. - Common Stock"
LDRH,ldr holding,LDR Holding Corporation,LDR Holding Corporation - Common Stock
LDRI,powershares ladderrite 0,PowerShares LadderRite 0,PowerShares LadderRite 0-5 Year Corporate Bond Portfolio
LE,lands' end,"Lands' End, Inc.","Lands' End, Inc. - Common Stock"
LECO,lincoln electric holdings,"Lincoln Electric Holdings, Inc.","Lincoln Electric Holdings, Inc. - Common Shares"
LEDS,semileds,SemiLEDS Corporation,SemiLEDS Corporation - Common Stock
LEVY,levy acquisition,Levy Acquisition Corp.,Levy Acquisition Corp. - Common Stock
LEVYU,levy acquisition,Levy Acquisition Corp.,Levy Acquisition Corp. - Unit
LEVYW,levy acquisition,Levy Acquisition Corp.,Levy Acquisition Corp. - Warrants
LFUS,littelfuse,"Littelfuse, Inc.","Littelfuse, Inc. - Common Stock"
LFVN,lifevantage,Lifevantage Corporation,Lifevantage Corporation - Common Stock
LGCY,legacy reserves,Legacy Reserves LP,Legacy Reserves LP - Units Representing Limited Partner Interests
LGCYO,legacy reserves,Legacy Reserves LP,Legacy Reserves LP - 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
LGCYP,legacy reserves,Legacy Reserves LP,Legacy Reserves LP - 8% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
LGIH,lgi homes,"LGI Homes, Inc.","LGI Homes, Inc. - Common Stock"
LGND,ligand pharmaceuticals,Ligand Pharmaceuticals Incorporated,Ligand Pharmaceuticals Incorporated - Common Stock
LHCG,lhc group,LHC Group,LHC Group - common stock
LIME,lime energy,Lime Energy Co.,Lime Energy Co. - Common Stock
LINC,lincoln educational services,Lincoln Educational Services Corporation,Lincoln Educational Services Corporation - Common Stock
LINE,linn energy,"Linn Energy, LLC","Linn Energy, LLC - Common Units representing limited liability company interests"
LION,fidelity southern,Fidelity Southern Corporation,Fidelity Southern Corporation - Common Stock
LIOX,lionbridge technologies,"Lionbridge Technologies, Inc.","Lionbridge Technologies, Inc. - Common Stock"
LIQD,liquid holdings group,"Liquid Holdings Group, Inc.","Liquid Holdings Group, Inc. - Common Stock"
LIVE,livedeal,"LiveDeal, Inc.","LiveDeal, Inc. - Common Stock"
LJPC,la jolla pharmaceutical,La Jolla Pharmaceutical Company,La Jolla Pharmaceutical Company - Common Stock
LKFN,lakeland financial,Lakeland Financial Corporation,Lakeland Financial Corporation - Common Stock
LKQ,lkq,LKQ Corporation,LKQ Corporation - Common Stock
LLEX,lilis energy,"Lilis Energy, Inc.","Lilis Energy, Inc. - Common Stock"
LLNW,limelight networks,"Limelight Networks, Inc.","Limelight Networks, Inc. - Common Stock"
LLTC,linear technology,Linear Technology Corporation,Linear Technology Corporation - Common Stock
LMAT,lemaitre vascular,"LeMaitre Vascular, Inc.","LeMaitre Vascular, Inc. - Common Stock"
LMBS,first trust low duration mortgage opportunities etf,First Trust Low Duration Mortgage Opportunities ETF,First Trust Low Duration Mortgage Opportunities ETF
LMCA,liberty media,Liberty Media Corporation,Liberty Media Corporation - Series A Common Stock
LMCB,liberty media,Liberty Media Corporation,Liberty Media Corporation - Series B Common Stock
LMCK,liberty media,Liberty Media Corporation,Liberty Media Corporation - Series C Common Stock
LMIA,lmi aerospace,"LMI Aerospace, Inc.","LMI Aerospace, Inc. - Common Stock"
LMNR,limoneira,Limoneira Co,Limoneira Co - Common Stock
LMNS,lumenis,Lumenis Ltd.,Lumenis Ltd. - Class B Ordinary Shares
LMNX,luminex,Luminex Corporation,Luminex Corporation - Common Stock
LMOS,lumos networks,Lumos Networks Corp.,Lumos Networks Corp. - Common Stock
LMRK,landmark infrastructure partners,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners LP - Common Units
LNBB,lnb bancorp,"LNB Bancorp, Inc.","LNB Bancorp, Inc. - Common Stock"
LNCE,snyder's,Snyder's,"Snyder's-Lance, Inc. - Common Stock"
LNCO,linn co,"Linn Co, LLC","Linn Co, LLC - Common Shares"
LNDC,landec,Landec Corporation,Landec Corporation - Common Stock
LOAN,manhattan bridge capital,"Manhattan Bridge Capital, Inc","Manhattan Bridge Capital, Inc - Common Stock"
LOCM,local,Local Corporation,Local Corporation - Common Stock
LOCO,el pollo loco holdings,"El Pollo Loco Holdings, Inc.","El Pollo Loco Holdings, Inc. - Common Stock"
LOGI,logitech international,Logitech International S.A.,Logitech International S.A. - Registered Shares
LOGM,logmein,"LogMein, Inc.","LogMein, Inc. - Common Stock"
LOJN,lojack,LoJack Corporation,LoJack Corporation - Common Stock
LONG,elong,"eLong, Inc.","eLong, Inc. - American Depositary Shares representing 2 Ordinary Shares"
LOOK,looksmart,"LookSmart, Ltd.","LookSmart, Ltd. - Common Stock"
LOPE,grand canyon education,"Grand Canyon Education, Inc.","Grand Canyon Education, Inc. - Common Stock"
LORL,loral space and communications,"Loral Space and Communications, Inc.","Loral Space and Communications, Inc. - Common Stock"
LOXO,loxo oncology,"Loxo Oncology, Inc.","Loxo Oncology, Inc. - Common Stock"
LPCN,lipocine,Lipocine Inc.,Lipocine Inc. - Common Stock
LPHI,life partners holdings,Life Partners Holdings Inc,Life Partners Holdings Inc - Common Stock
LPLA,lpl financial holdings,LPL Financial Holdings Inc.,LPL Financial Holdings Inc. - Common Stock
LPNT,lifepoint hospitals,"LifePoint Hospitals, Inc.","LifePoint Hospitals, Inc. - Common Stock"
LPSB,laporte bancorp,"LaPorte Bancorp, Inc.","LaPorte Bancorp, Inc. - Common Stock"
LPSN,liveperson,"LivePerson, Inc.","LivePerson, Inc. - Common Stock"
LPTH,lightpath technologies,"LightPath Technologies, Inc.","LightPath Technologies, Inc. - Class A Common Stock"
LPTN,lpath,"Lpath, Inc.","Lpath, Inc. - Class A Common Stock"
LQDT,liquidity services,"Liquidity Services, Inc.","Liquidity Services, Inc. - Common Stock"
LRAD,lrad,LRAD Corporation,LRAD Corporation - Common Stock
LRCX,lam research,Lam Research Corporation,Lam Research Corporation - Common Stock
LSBK,lake shore bancorp,"Lake Shore Bancorp, Inc.","Lake Shore Bancorp, Inc. - Common Stock"
LSCC,lattice semiconductor,Lattice Semiconductor Corporation,Lattice Semiconductor Corporation - Common Stock
LSTR,landstar system,"Landstar System, Inc.","Landstar System, Inc. - Common Stock"
LTBR,lightbridge,Lightbridge Corporation,Lightbridge Corporation - Common Stock
LTRE,learning tree international,"Learning Tree International, Inc.","Learning Tree International, Inc. - Common Stock"
LTRPA,liberty tripadvisor holdings,"Liberty TripAdvisor Holdings, Inc.","Liberty TripAdvisor Holdings, Inc. - Series A Common Stock"
LTRPB,liberty tripadvisor holdings,"Liberty TripAdvisor Holdings, Inc.","Liberty TripAdvisor Holdings, Inc. - Series B Common Stock"
LTRX,lantronix,"Lantronix, Inc.","Lantronix, Inc. - Common Stock"
LTXB,legacytexas financial group,"LegacyTexas Financial Group, Inc.","LegacyTexas Financial Group, Inc. - Common Stock"
LULU,lululemon athletica,lululemon athletica inc.,lululemon athletica inc. - Common Stock
LUNA,luna innovations,Luna Innovations Incorporated,Luna Innovations Incorporated - Common Stock
LVNTA,liberty interactive,Liberty Interactive Corporation,Liberty Interactive Corporation - Series A Liberty Ventures Common Stock
LVNTB,liberty interactive,Liberty Interactive Corporation,Liberty Interactive Corporation - Series B Liberty Ventures Common Stock
LWAY,lifeway foods,"Lifeway Foods, Inc.","Lifeway Foods, Inc. - Common Stock"
LXRX,lexicon pharmaceuticals,"Lexicon Pharmaceuticals, Inc.","Lexicon Pharmaceuticals, Inc. - Common Stock"
LYTS,lsi industries,LSI Industries Inc.,LSI Industries Inc. - Common Stock
MACK,merrimack pharmaceuticals,"Merrimack Pharmaceuticals, Inc.","Merrimack Pharmaceuticals, Inc. - Common Stock"
MAG,magnetek,"Magnetek, Inc.","Magnetek, Inc. - Common Stock"
MAGS,magal security systems,Magal Security Systems Ltd.,Magal Security Systems Ltd. - Ordinary Shares
MAMS,mam software group,"MAM Software Group, Inc.","MAM Software Group, Inc. - Common Stock"
MANH,manhattan associates,"Manhattan Associates, Inc.","Manhattan Associates, Inc. - Common Stock"
MANT,mantech international,ManTech International Corporation,ManTech International Corporation - Class A Common Stock
MAR,marriott international,Marriott International,Marriott International - Class A Common Stock
MARA,marathon patent group,"Marathon Patent Group, Inc.","Marathon Patent Group, Inc. - Common Stock"
MARK,remark media,"Remark Media, Inc.","Remark Media, Inc. - Common Stock"
MARPS,marine petroleum trust,Marine Petroleum Trust,Marine Petroleum Trust - Units of Beneficial Interest
MASI,masimo,Masimo Corporation,Masimo Corporation - Common Stock
MAT,mattel,"Mattel, Inc.","Mattel, Inc. - Common Stock"
MATR,mattersight,Mattersight Corporation,Mattersight Corporation - Common Stock
MATW,matthews international,Matthews International Corporation,Matthews International Corporation - Class A Common Stock
MAYS,j. w. mays,"J. W. Mays, Inc.","J. W. Mays, Inc. - Common Stock"
MBCN,middlefield banc,Middlefield Banc Corp.,Middlefield Banc Corp. - Common Stock
MBFI,mb financial,MB Financial Inc.,MB Financial Inc. - Common Stock
MBFIP,mb financial,MB Financial Inc.,"MB Financial Inc. - Perpetual Non-Cumulative Preferred Stock, Series A"
MBII,marrone bio innovations,"Marrone Bio Innovations, Inc.","Marrone Bio Innovations, Inc. - Common Stock"
MBLX,metabolix,"Metabolix, Inc.","Metabolix, Inc. - Common Stock"
MBRG,middleburg financial,Middleburg Financial Corporation,Middleburg Financial Corporation - Common Stock
MBSD,flexshares disciplined duration mbs index fund,FlexShares Disciplined Duration MBS Index Fund,FlexShares Disciplined Duration MBS Index Fund
MBTF,m b t financial,M B T Financial Corp,M B T Financial Corp - Common Stock
MBUU,malibu boats,"Malibu Boats, Inc.","Malibu Boats, Inc. - Common Stock"
MBVT,merchants bancshares,"Merchants Bancshares, Inc.","Merchants Bancshares, Inc. - Common Stock"
MBWM,mercantile bank,Mercantile Bank Corporation,Mercantile Bank Corporation - Common Stock
MCBC,macatawa bank,Macatawa Bank Corporation,Macatawa Bank Corporation - Common Stock
MCBK,madison county financial,"Madison County Financial, Inc.","Madison County Financial, Inc. - Common Stock"
MCEP,mid,Mid,"Mid-Con Energy Partners, LP - Common Units"
MCGC,mcg capital,MCG Capital Corporation,MCG Capital Corporation - Closed End Fund
MCHP,microchip technology,Microchip Technology Incorporated,Microchip Technology Incorporated - Common Stock
MCHX,marchex,"Marchex, Inc.","Marchex, Inc. - Class B Common Stock"
MCOX,mecox lane,Mecox Lane Limited,Mecox Lane Limited - American Depositary Shares
MCRI,monarch casino & resort,"Monarch Casino & Resort, Inc.","Monarch Casino & Resort, Inc. - Common Stock"
MCRL,micrel,"Micrel, Incorporated","Micrel, Incorporated - Common Stock"
MCUR,macrocure,Macrocure Ltd.,Macrocure Ltd. - Ordinary Shares
MDAS,medassets,"MedAssets, Inc.","MedAssets, Inc. - Common Stock"
MDCA,mdc partners,MDC Partners Inc.,MDC Partners Inc. - Class A Subordinate Voting Shares
MDCO,the medicines,The Medicines Company,The Medicines Company - Common Stock
MDIV,first trust exchange,First Trust Exchange,First Trust Exchange-Traded Fund VI Multi-Asset Diversified Income Index Fund
MDLZ,mondelez international,"Mondelez International, Inc.","Mondelez International, Inc. - Class A Common Stock"
MDM,mountain province diamonds,Mountain Province Diamonds Inc.,Mountain Province Diamonds Inc. - Common Stock
MDRX,allscripts healthcare solutions,"Allscripts Healthcare Solutions, Inc.","Allscripts Healthcare Solutions, Inc. - common stock"
MDSO,medidata solutions,"Medidata Solutions, Inc.","Medidata Solutions, Inc. - Common Stock"
MDSY,bluephoenix solutions,"BluePhoenix Solutions, Ltd.","BluePhoenix Solutions, Ltd. - Ordinary Shares"
MDVN,medivation,"Medivation, Inc.","Medivation, Inc. - Common Stock"
MDVXU,medovex,Medovex Corp.,Medovex Corp. - Units
MDWD,mediwound,MediWound Ltd.,MediWound Ltd. - Ordinary Shares
MDXG,mimedx group,"MiMedx Group, Inc","MiMedx Group, Inc - Common Stock"
MEET,meetme,"MeetMe, Inc.","MeetMe, Inc. - Common Stock"
MEIL,methes energies international,Methes Energies International Ltd,Methes Energies International Ltd - Common Stock
MEILW,methes energies international,Methes Energies International Ltd,Methes Energies International Ltd - Class A Warrants
MEILZ,methes energies international,Methes Energies International Ltd,Methes Energies International Ltd - Class B Warrants
MEIP,mei pharma,"MEI Pharma, Inc.","MEI Pharma, Inc. - Common Stock"
MELA,mela sciences,"MELA Sciences, Inc","MELA Sciences, Inc - Common Stock"
MELI,mercadolibre,"MercadoLibre, Inc.","MercadoLibre, Inc. - Common Stock"
MELR,melrose bancorp,"Melrose Bancorp, Inc.","Melrose Bancorp, Inc. - Common Stock"
MEMP,memorial production partners,Memorial Production Partners LP,Memorial Production Partners LP - Common Units
MENT,mentor graphics,Mentor Graphics Corporation,Mentor Graphics Corporation - Common Stock
